iter	MAPE	RMSE	R2	MAE
0	0.07792997818	0.874541253	0.1523941383	0.709262371
1	0.07153652378	0.8077915932	0.2768439751	0.6504636633
2	0.06587416766	0.7483563454	0.3793450242	0.598522498
3	0.06081237671	0.6952547238	0.4643004923	0.5522667983
4	0.0563977192	0.648689612	0.5336550941	0.5119123014
5	0.05236113429	0.6068451033	0.5918788945	0.4748350362
6	0.04882462811	0.5697539968	0.6402439457	0.4422365343
7	0.04574372356	0.5374080394	0.6799324329	0.4139866002
8	0.04299651557	0.5089302689	0.712955048	0.3888017853
9	0.0406308491	0.4842885005	0.7400788234	0.3671439634
10	0.03850931121	0.4619776541	0.7634759597	0.3478563957
11	0.03663998584	0.4427877848	0.782717568	0.3307400186
12	0.03502853298	0.4260771577	0.7988083953	0.3159732352
13	0.0336158148	0.4110351912	0.8127631342	0.3030802264
14	0.03237239404	0.3987654841	0.8237746139	0.2916171253
15	0.03129599007	0.3873979026	0.8336786962	0.2817252615
16	0.03037886139	0.3778896788	0.8417428242	0.2734906619
17	0.02960279489	0.3697632534	0.8484762014	0.2664334022
18	0.02889684367	0.3622341417	0.8545840269	0.2600074607
19	0.02827081632	0.3561394226	0.8594362124	0.2542382132
20	0.02773040319	0.3502598994	0.8640390508	0.2492943965
21	0.0271780828	0.3448368519	0.8682166043	0.2442915913
22	0.0267402864	0.3400645011	0.871838982	0.2402171237
23	0.02641050493	0.3364117627	0.87457743	0.2372389186
24	0.02605822349	0.332572778	0.8774236325	0.2339531883
25	0.02572574223	0.3290446214	0.8800105831	0.2309480889
26	0.02548008279	0.326503497	0.8818567198	0.2286504628
27	0.02518895665	0.3234935805	0.8840249191	0.2259391089
28	0.02494088458	0.3207316388	0.8859968222	0.2237367718
29	0.02470817931	0.3185539829	0.8875396503	0.2215868211
30	0.02448317375	0.3159945305	0.8893395373	0.2195043681
31	0.02432928432	0.3143695477	0.8904747404	0.2181139046
32	0.02414311064	0.3123410073	0.891883653	0.2163656278
33	0.02403787685	0.3110742175	0.8927588691	0.2154522357
34	0.02390414167	0.3094446379	0.8938795034	0.2142867643
35	0.02373313305	0.3077197831	0.8950592447	0.2126432352
36	0.02363110345	0.3065707358	0.8958414937	0.2117165913
37	0.02346613179	0.3049057186	0.8969698125	0.210151126
38	0.02336362243	0.303520287	0.8979039831	0.2092164138
39	0.02326288345	0.302334256	0.8987003217	0.2083263032
40	0.02314466809	0.3011159145	0.8995151082	0.2072204035
41	0.02304685579	0.2999536673	0.9002893143	0.2063110216
42	0.02299671195	0.2991774206	0.9008047268	0.2058437363
43	0.02295192722	0.2985864202	0.901196244	0.2054386533
44	0.02290538846	0.2979549106	0.9016137414	0.2049974073
45	0.02282450158	0.2968963267	0.9023115994	0.2043000385
46	0.02273737705	0.295822583	0.9030169137	0.2034279615
47	0.02267832158	0.2952085362	0.9034191167	0.2028879498
48	0.02265699994	0.2948625515	0.9036453698	0.2027064523
49	0.02259689119	0.2942897805	0.9040193443	0.2021401553
50	0.0225074464	0.2932545554	0.9046934201	0.2013355331
51	0.0224593293	0.292744717	0.905024523	0.2008939531
52	0.02243231818	0.2923092798	0.9053068516	0.2006542006
53	0.0223892907	0.2917269539	0.905683763	0.2002784044
54	0.02231440158	0.2910909714	0.906094545	0.1995464025
55	0.02228130605	0.2905637164	0.90643442	0.1992198515
56	0.02224475985	0.2901469841	0.9067026148	0.1988698323
57	0.02217162262	0.2892707995	0.9072652421	0.198178362
58	0.02214641837	0.2889611579	0.9074636663	0.1979434269
59	0.02204318175	0.2877153522	0.9082598549	0.1969308641
60	0.02201427776	0.2873289903	0.9085060781	0.1966688285
61	0.0219360132	0.2863960253	0.9090992799	0.1958754191
62	0.0218538399	0.2855096358	0.9096610807	0.1951046086
63	0.02179327434	0.2848911985	0.9100520199	0.1945688452
64	0.02176869574	0.2844632206	0.9103220657	0.1943568109
65	0.02171548246	0.2838412806	0.9107137741	0.1939021967
66	0.02169360371	0.2834816005	0.9109399155	0.1936896959
67	0.02165378335	0.283131226	0.9111599305	0.1933297166
68	0.02162920957	0.2828168961	0.91135708	0.1930987233
69	0.02160111331	0.2824570508	0.9115825082	0.1928508733
70	0.02156937764	0.2821530893	0.9117727038	0.1925640663
71	0.02154258747	0.2818352424	0.9119713689	0.1922905019
72	0.02148329169	0.281245898	0.9123391365	0.1917721697
73	0.02144779166	0.2808386108	0.9125928454	0.191465221
74	0.02141463261	0.2804885005	0.9128106436	0.1911619775
75	0.02139273856	0.2802332766	0.9129692432	0.1909720328
76	0.02137464402	0.2799422214	0.9131499326	0.1908201363
77	0.02132667329	0.279353583	0.9135147903	0.1903846375
78	0.02130520147	0.2790534874	0.913700504	0.1902018213
79	0.02125134042	0.2784967481	0.9140445126	0.1897026366
80	0.02120491494	0.2779289516	0.9143946457	0.1892751574
81	0.02113724752	0.2772777837	0.9147953104	0.1886084332
82	0.02106284309	0.2764726686	0.9152893996	0.1879335413
83	0.02100417134	0.2758257069	0.915685391	0.1874075745
84	0.02095935872	0.2753013457	0.9160056605	0.1869958727
85	0.02091596064	0.2748484686	0.9162817785	0.1866042371
86	0.02086398984	0.2743512188	0.9165844268	0.1861394588
