iter	Passed	Remaining
0	30	183705
1	57	173028
2	83	165932
3	105	158308
4	131	158003
5	152	152635
6	173	148412
7	187	140473
8	200	133415
9	213	127593
10	227	123642
11	240	119785
12	254	117311
13	268	114825
14	279	111624
15	290	108734
16	303	106870
17	313	104176
18	323	101903
19	334	99883
20	343	97876
21	354	96354
22	365	94948
23	376	93630
24	386	92350
25	396	91147
26	409	90663
27	423	90292
28	434	89454
29	444	88447
30	454	87580
31	464	86656
32	474	85716
33	488	85651
34	504	85916
35	517	85685
36	529	85380
37	539	84599
38	553	84587
39	564	84179
40	587	85425
41	601	85291
42	615	85315
43	625	84702
44	637	84406
45	651	84271
46	666	84446
47	677	84050
48	689	83686
49	702	83589
50	716	83541
51	729	83409
52	738	82870
53	749	82563
54	761	82275
55	775	82302
56	787	82079
57	804	82382
58	814	82025
59	826	81845
60	837	81522
61	850	81496
62	863	81397
63	876	81278
64	887	81001
65	907	81566
66	921	81586
67	1044	91094
68	1092	93931
69	1104	93546
70	1116	93248
71	1128	92893
72	1143	92816
73	1156	92631
74	1168	92336
75	1182	92208
76	1196	92071
77	1215	92317
78	1231	92290
79	1244	92084
80	1258	91995
81	1273	91895
82	1285	91639
83	1302	91706
84	1319	91794
85	1331	91553
86	1346	91518
87	1365	91709
88	1379	91616
89	1392	91408
90	1404	91180
91	1417	91042
92	1430	90836
93	1441	90542
94	1451	90250
95	1461	89859
96	1472	89590
97	1481	89239
98	1493	88999
99	1504	88780
100	1515	88540
101	1528	88382
102	1541	88243
103	1562	88567
104	1583	88918
105	1596	88761
106	1612	88814
107	1632	89083
108	1656	89535
109	1672	89549
110	1685	89430
111	1698	89269
112	1708	89018
113	1722	88955
114	1736	88877
115	1753	88942
116	1764	88727
117	1773	88400
118	1783	88157
119	1793	87902
120	1806	87785
121	1818	87631
122	1829	87438
123	1839	87160
124	1853	87124
125	1865	86979
126	1876	86786
127	1887	86602
128	1906	86764
129	1920	86733
130	1931	86530
131	1942	86356
132	1954	86210
133	1965	86061
134	1977	85920
135	1988	85755
136	2000	85630
137	2011	85430
138	2020	85197
139	2031	85035
140	2043	84906
141	2052	84658
142	2066	84654
143	2078	84517
144	2088	84313
145	2099	84175
146	2110	84030
147	2120	83842
148	2130	83659
149	2141	83530
150	2152	83395
151	2169	83474
152	2186	83544
153	2197	83436
154	2209	83322
155	2234	83716
156	2256	83964
157	2297	84937
158	2316	85093
159	2346	85647
160	2373	86069
161	2391	86168
162	2405	86155
163	2417	86034
164	2430	85958
165	2442	85837
166	2454	85714
167	2462	85499
168	2476	85432
169	2486	85283
170	2498	85165
171	2508	84989
172	2518	84832
173	2530	84722
174	2543	84670
175	2554	84541
176	2564	84368
177	2575	84246
178	2586	84114
179	2597	83992
180	2609	83901
181	2621	83804
182	2630	83616
183	2641	83495
184	2652	83382
185	2662	83229
186	2673	83092
187	2684	82996
188	2695	82866
189	2711	82919
190	2723	82822
191	2734	82730
192	2744	82571
193	2754	82449
194	2765	82328
195	2775	82193
196	2789	82157
197	2800	82069
198	2809	81889
199	2820	81795
200	2832	81731
201	2841	81571
202	2852	81465
203	2863	81368
204	2874	81243
205	2887	81218
206	2902	81223
207	2926	81494
208	2939	81436
209	2950	81351
210	2959	81209
211	2970	81113
212	2981	81012
213	2991	80877
214	3002	80798
215	3013	80705
216	3024	80594
217	3037	80564
218	3050	80531
219	3061	80437
220	3070	80298
221	3082	80231
222	3092	80113
223	3102	80008
224	3114	79941
225	3124	79820
226	3136	79766
227	3147	79674
228	3158	79598
229	3169	79504
230	3180	79422
231	3192	79365
232	3202	79263
233	3214	79219
234	3226	79157
235	3237	79073
236	3250	79041
237	3262	78986
238	3272	78874
239	3282	78773
240	3292	78689
241	3303	78592
242	3316	78579
243	3330	78577
244	3345	78580
245	3356	78520
246	3366	78413
247	3380	78416
248	3392	78358
249	3401	78227
250	3411	78128
251	3422	78074
252	3432	77975
253	3444	77924
254	3454	77837
255	3464	77726
256	3475	77654
257	3485	77561
258	3494	77468
259	3505	77382
260	3515	77295
261	3527	77246
262	3538	77190
263	3548	77109
264	3560	77045
265	3572	77004
266	3581	76902
267	3592	76838
268	3603	76775
269	3613	76676
270	3623	76611
271	3634	76546
272	3643	76433
273	3653	76357
274	3663	76259
275	3674	76210
276	3685	76140
277	3694	76049
278	3707	76017
279	3719	75983
280	3729	75899
281	3740	75843
282	3749	75754
283	3758	75656
284	3769	75590
285	3779	75513
286	3792	75489
287	3804	75447
288	3813	75358
289	3824	75309
290	3834	75234
291	3845	75164
292	3856	75113
293	3867	75063
294	3877	74978
295	3889	74951
